Stage,Lake Area (acres),Volume
3851.5,0,0
3851.6,32,10
3851.7,64,20
3851.8,96,30
3851.9,128,40
3852.0,160,50
3852.1,198,80
3852.2,236,110
3852.3,274,140
3852.4,312,170
3852.5,350,200
3852.6,394,240
3852.7,438,280
3852.8,482,320
3852.9,526,360
3853.0,570,400
3853.1,626,460
3853.2,682,520
3853.3,738,580
3853.4,794,640
3853.5,850,700
3853.6,912,760
3853.7,974,820
3853.8,1036,880
3853.9,1098,940
3854.0,1160,1000
3854.1,1230,1200
3854.2,1300,1400
3854.3,1370,1600
3854.4,1440,1800
3854.5,1510,2000
3854.6,1604,2200
3854.7,1698,2400
3854.8,1792,2600
3854.9,1886,2800
3855.0,1980,3000
3855.1,2086,3200
3855.2,2192,3400
3855.3,2298,3600
3855.4,2404,3800
3855.5,2510,4000
3855.6,2626,4200
3855.7,2742,4400
3855.8,2858,4600
3855.9,2974,4800
3856.0,3090,5000
3856.1,3222,5400
3856.2,3354,5800
3856.3,3486,6200
3856.4,3618,6600
3856.5,3750,7000
3856.6,3868,7400
3856.7,3986,7800
3856.8,4104,8200
3856.9,4222,8600
3857.0,4340,9000
3857.1,4464,9400
3857.2,4588,9800
3857.3,4712,10200
3857.4,4836,10600
3857.5,4960,11000
3857.6,5076,11600
3857.7,5192,12200
3857.8,5308,12800
3857.9,5424,13400
3858.0,5540,14000
3858.1,5648,14600
3858.2,5756,15200
3858.3,5864,15800
3858.4,5972,16400
3858.5,6080,17000
3858.6,6206,17600
3858.7,6332,18200
3858.8,6458,18800
3858.9,6584,19400
3859.0,6710,20000
3859.1,6842,20800
3859.2,6974,21600
3859.3,7106,22400
3859.4,7238,23200
3859.5,7370,24000
3859.6,7492,24600
3859.7,7614,25200
3859.8,7736,25800
3859.9,7858,26400
3860.0,7980,27000
3860.1,8090,28000
3860.2,8200,29000
3860.3,8310,30000
3860.4,8420,31000
3860.5,8530,32000
3860.6,8632,32800
3860.7,8734,33600
3860.8,8836,34400
3860.9,8938,35200
3861.0,9040,36000
3861.1,9120,37000
3861.2,9200,38000
3861.3,9280,39000
3861.4,9360,40000
3861.5,9440,41000
3861.6,9514,41800
3861.7,9588,42600
3861.8,9662,43400
3861.9,9736,44200
3862.0,9810,45000
3862.1,9882,46000
3862.2,9954,47000
3862.3,10026,48000
3862.4,10098,49000
3862.5,10170,50000
3862.6,10236,51200
3862.7,10302,52400
3862.8,10368,53600
3862.9,10434,54800
3863.0,10500,56000
3863.1,10562,57000
3863.2,10624,58000
3863.3,10686,59000
3863.4,10748,60000
3863.5,10810,61000
3863.6,10870,62000
3863.7,10930,63000
3863.8,10990,64000
3863.9,11050,65000
3864.0,11110,66000
3864.1,11172,67200
3864.2,11234,68400
3864.3,11296,69600
3864.4,11358,70800
3864.5,11420,72000
3864.6,11488,73200
3864.7,11556,74400
3864.8,11624,75600
3864.9,11692,76800
3865.0,11760,78000
3865.1,11832,79200
3865.2,11904,80400
3865.3,11976,81600
3865.4,12048,82800
3865.5,12120,84000
3865.6,12190,85200
3865.7,12260,86400
3865.8,12330,87600
3865.9,12400,88800
3866.0,12470,90000
3866.1,12536,91200
3866.2,12602,92400
3866.3,12668,93600
3866.4,12734,94800
3866.5,12800,96000
3866.6,12862,97400
3866.7,12924,98800
3866.8,12986,100200
3866.9,13048,101600
3867.0,13110,103000
3867.1,13172,104200
3867.2,13234,105400
3867.3,13296,106600
3867.4,13358,107800
3867.5,13420,109000
3867.6,13480,110400
3867.7,13540,111800
3867.8,13600,113200
3867.9,13660,114600
3868.0,13720,116000
3868.1,13772,117400
3868.2,13824,118800
3868.3,13876,120200
3868.4,13928,121600
3868.5,13980,123000
3868.6,14026,124400
3868.7,14072,125800
3868.8,14118,127200
3868.9,14164,128600
3869.0,14210,130000
3869.1,14260,131400
3869.2,14310,132800
3869.3,14360,134200
3869.4,14410,135600
3869.5,14460,137000
3869.6,14510,138600
3869.7,14560,140200
3869.8,14610,141800
3869.9,14660,143400
3870.0,14710,145000
3870.1,14762,146400
3870.2,14814,147800
3870.3,14866,149200
3870.4,14918,150600
3870.5,14970,152000
3870.6,15016,153600
3870.7,15062,155200
3870.8,15108,156800
3870.9,15154,158400
3871.0,15200,160000
3871.1,15242,161400
3871.2,15284,162800
3871.3,15326,164200
3871.4,15368,165600
3871.5,15410,167000
3871.6,15452,168600
3871.7,15494,170200
3871.8,15536,171800
3871.9,15578,173400
3872.0,15620,175000
3872.1,15660,176600
3872.2,15700,178200
3872.3,15740,179800
3872.4,15780,181400
3872.5,15820,183000
3872.6,15858,184600
3872.7,15896,186200
3872.8,15934,187800
3872.9,15972,189400
3873.0,16010,191000
3873.1,16048,192600
3873.2,16086,194200
3873.3,16124,195800
3873.4,16162,197400
3873.5,16200,199000
3873.6,16240,200600
3873.7,16280,202200
3873.8,16320,203800
3873.9,16360,205400
3874.0,16400,207000
3874.1,16436,208600
3874.2,16472,210200
3874.3,16508,211800
3874.4,16544,213400
3874.5,16580,215000
3874.6,16616,216800
3874.7,16652,218600
3874.8,16688,220400
3874.9,16724,222200
3875.0,16760,224000
3875.1,16796,225600
3875.2,16832,227200
3875.3,16868,228800
3875.4,16904,230400
3875.5,16940,232000
3875.6,16976,233600
3875.7,17012,235200
3875.8,17048,236800
3875.9,17084,238400
3876.0,17120,240000
3876.1,17156,241800
3876.2,17192,243600
3876.3,17228,245400
3876.4,17264,247200
3876.5,17300,249000
3876.6,17340,250800
3876.7,17380,252600
3876.8,17420,254400
